pipeline,class,source,band,band_low_hz,band_high_hz,mean_energy_db,median_energy_db,std_energy_db,n_segments_or_windows
p0_c1_particles2SNR,4um,dataset_noise_windows,80 kHz-Nyq,80000.0,,-59.601430870283544,-58.899805262998484,4.268834453747929,425
p0_c1_particles2SNR,10um,particle_labels,0-1 kHz,0.0,1000.0,-76.3429915441454,-75.50369713927543,11.246117280285413,1638
p0_c1_particles2SNR,10um,particle_labels,1-7 kHz,1000.0,7000.0,-57.30196738393633,-57.34049180259758,5.7427442462878435,1638
p0_c1_particles2SNR,10um,particle_labels,7-10 kHz,7000.0,10000.0,-49.20678583042434,-46.75725346093746,24.65888213818174,1638
p0_c1_particles2SNR,10um,particle_labels,10-40 kHz,10000.0,40000.0,-36.96061703872248,-38.969698662029316,5.817780534125139,1638
p0_c1_particles2SNR,10um,particle_labels,40-80 kHz,40000.0,80000.0,-43.83515756135243,-44.04726568232554,2.065061337215187,1638
p0_c1_particles2SNR,10um,particle_labels,80 kHz-Nyq,80000.0,,-58.81265188529559,-58.89684898160658,2.268036646863958,1638
p0_c1_particles2SNR,10um,dataset_noise_windows,0-1 kHz,0.0,1000.0,-85.95697529450305,-84.39919114274345,9.794551481306355,425
p0_c1_particles2SNR,10um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,-61.219008514199686,-60.50179081162825,4.59177351107164,425
p0_c1_particles2SNR,10um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,-50.60651046003171,-49.72749409781144,5.112321824407922,425
p0_c1_particles2SNR,10um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,-41.864478821696366,-41.137938151390905,4.468834591378299,425
p0_c1_particles2SNR,10um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,-45.26497630414613,-44.417829569671824,4.640229534750324,425
p0_c1_particles2SNR,10um,dataset_noise_windows,80 kHz-Nyq,80000.0,,-59.601430870283544,-58.899805262998484,4.268834453747929,425
p0_c1_clean_7_80_khz,2um,particle_labels,0-1 kHz,0.0,1000.0,-76.340738598504,-74.71431415565216,10.603526515116759,320
p0_c1_clean_7_80_khz,2um,particle_labels,1-7 kHz,1000.0,7000.0,-65.26727899167675,-65.83530503755006,6.302787440587638,320
p0_c1_clean_7_80_khz,2um,particle_labels,7-10 kHz,7000.0,10000.0,-49.382021191904045,-48.288923313661655,20.922867658933765,320
p0_c1_clean_7_80_khz,2um,particle_labels,10-40 kHz,10000.0,40000.0,-32.56141620065873,-32.55555096666837,4.792407655473319,320
p0_c1_clean_7_80_khz,2um,particle_labels,40-80 kHz,40000.0,80000.0,-44.56715616057208,-44.58602688300649,1.5448366439947083,320
p0_c1_clean_7_80_khz,2um,particle_labels,80 kHz-Nyq,80000.0,,-66.89729546854616,-66.9593969285278,2.157150087322958,320
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,0-1 kHz,0.0,1000.0,-85.04380703883913,-83.2675932703552,9.671610781225185,8207
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,-67.12107909510947,-66.97353279342258,4.243709916693365,8207
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,-49.45760752028082,-49.64575774702419,3.398663640831441,8207
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,-40.15505447940083,-40.43267238728564,2.283505654489368,8207
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,-44.68922383219132,-44.70703853782485,0.9742318312298687,8207
p0_c1_clean_7_80_khz,2um,dataset_noise_windows,80 kHz-Nyq,80000.0,,-66.87374578797842,-66.86323514351075,1.5963466445371812,8207
p0_c1_clean_7_80_khz,4um,particle_labels,0-1 kHz,0.0,1000.0,-73.72419969882486,-73.0635858873868,11.104459403648864,317
p0_c1_clean_7_80_khz,4um,particle_labels,1-7 kHz,1000.0,7000.0,-63.04823627645903,-63.47455374792014,6.958503248183231,317
p0_c1_clean_7_80_khz,4um,particle_labels,7-10 kHz,7000.0,10000.0,-50.535799300893395,-48.93403190950666,20.68059853447317,317
p0_c1_clean_7_80_khz,4um,particle_labels,10-40 kHz,10000.0,40000.0,-22.073570903438245,-20.785079755070516,4.888903118143684,317
p0_c1_clean_7_80_khz,4um,particle_labels,40-80 kHz,40000.0,80000.0,-43.26289620071563,-43.43988702487363,2.0063142632144966,317
p0_c1_clean_7_80_khz,4um,particle_labels,80 kHz-Nyq,80000.0,,-66.95472859293717,-67.04902136007176,2.69287875665242,317
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,0-1 kHz,0.0,1000.0,-85.09674125475695,-83.30024651135523,9.820991491781562,4275
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,-67.11429926218301,-66.96452831612254,4.235347778576302,4275
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,-49.44415056860494,-49.65163108086691,3.408919267184547,4275
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,-40.14564841514272,-40.43064932239947,2.3343471798756266,4275
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,-44.687689874506574,-44.70917070520615,1.0196218032257487,4275
p0_c1_clean_7_80_khz,4um,dataset_noise_windows,80 kHz-Nyq,80000.0,,-66.87444455648122,-66.85902503329538,1.6149269907610428,4275
p0_c1_clean_7_80_khz,10um,particle_labels,0-1 kHz,0.0,1000.0,-74.20032656568826,-72.90375928178875,12.42322149853188,258
p0_c1_clean_7_80_khz,10um,particle_labels,1-7 kHz,1000.0,7000.0,-54.28458558783255,-58.4767020812386,13.797418147859327,258
p0_c1_clean_7_80_khz,10um,particle_labels,7-10 kHz,7000.0,10000.0,-40.95761153525678,-44.782358312995555,19.961787610593387,258
p0_c1_clean_7_80_khz,10um,particle_labels,10-40 kHz,10000.0,40000.0,-24.65881720217761,-22.396850407159384,7.68480236157625,258
p0_c1_clean_7_80_khz,10um,particle_labels,40-80 kHz,40000.0,80000.0,-38.072616674923054,-41.91910820091107,7.857329938303334,258
p0_c1_clean_7_80_khz,10um,particle_labels,80 kHz-Nyq,80000.0,,-61.80464444891402,-65.05230507926892,7.38310841904584,258
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,0-1 kHz,0.0,1000.0,-85.09674125475695,-83.30024651135523,9.820991491781562,4275
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,1-7 kHz,1000.0,7000.0,-67.11429926218301,-66.96452831612254,4.235347778576302,4275
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,7-10 kHz,7000.0,10000.0,-49.44415056860494,-49.65163108086691,3.408919267184547,4275
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,-40.14564841514272,-40.43064932239947,2.3343471798756266,4275
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,-44.687689874506574,-44.70917070520615,1.0196218032257487,4275
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,80 kHz-Nyq,80000.0,,-66.87444455648122,-66.85902503329538,1.6149269907610428,4275
noise_reference,2um,standalone_noise_folder,0-1 kHz,0.0,1000.0,-77.9546558924885,-75.93195075704845,9.095015974562054,7625
noise_reference,2um,standalone_noise_folder,1-7 kHz,1000.0,7000.0,-52.174672231728394,-51.99976310176497,3.3747287350193327,7625
noise_reference,2um,standalone_noise_folder,7-10 kHz,7000.0,10000.0,-41.76663718625553,-41.61256973772222,2.394593906288556,7625
noise_reference,2um,standalone_noise_folder,10-40 kHz,10000.0,40000.0,-33.69046800550507,-33.65829092274514,0.8162194115102689,7625
noise_reference,2um,standalone_noise_folder,40-80 kHz,40000.0,80000.0,-37.1115301487273,-37.11273492785496,0.6947693866991486,7625
