pipeline,class,source,band,band_low_hz,band_high_hz,mean_pct,std_pct,n_segments_or_windows,n_candidate_windows
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,10-40 kHz,10000.0,40000.0,61.01944284098499,9.524886361800151,4275,4275
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,40-80 kHz,40000.0,80000.0,25.51518937807263,6.373058992400296,4275,4275
p0_c1_clean_7_80_khz,10um,dataset_noise_windows,80 kHz-Nyq,80000.0,,0.9541432483574858,0.3450224433387772,4275,4275
noise_reference,2um,standalone_noise_folder,0-1 kHz,0.0,1000.0,33.11240785008883,16.934935364166584,7625,7625
noise_reference,2um,standalone_noise_folder,1-7 kHz,1000.0,7000.0,24.536366528609673,9.330391427843663,7625,7625
noise_reference,2um,standalone_noise_folder,7-10 kHz,7000.0,10000.0,4.7783870292038015,2.7599345594053957,7625,7625
noise_reference,2um,standalone_noise_folder,10-40 kHz,10000.0,40000.0,19.015445939511526,6.140740688573983,7625,7625
noise_reference,2um,standalone_noise_folder,40-80 kHz,40000.0,80000.0,10.766039661118013,3.4559552855273616,7625,7625
noise_reference,2um,standalone_noise_folder,80 kHz-Nyq,80000.0,,7.791352991468161,2.4147384637749862,7625,7625
noise_reference,4um,standalone_noise_folder,0-1 kHz,0.0,1000.0,33.03115531869917,16.970745852020737,3965,3965
noise_reference,4um,standalone_noise_folder,1-7 kHz,1000.0,7000.0,24.559283029783348,9.34652210532424,3965,3965
noise_reference,4um,standalone_noise_folder,7-10 kHz,7000.0,10000.0,4.784533794713658,2.7566398639514014,3965,3965
noise_reference,4um,standalone_noise_folder,10-40 kHz,10000.0,40000.0,19.040602683678586,6.151260893250721,3965,3965
noise_reference,4um,standalone_noise_folder,40-80 kHz,40000.0,80000.0,10.78139477865653,3.4638702382235054,3965,3965
noise_reference,4um,standalone_noise_folder,80 kHz-Nyq,80000.0,,7.8030303944687125,2.4160711959487644,3965,3965
noise_reference,10um,standalone_noise_folder,0-1 kHz,0.0,1000.0,33.03115531869917,16.970745852020737,3965,3965
noise_reference,10um,standalone_noise_folder,1-7 kHz,1000.0,7000.0,24.559283029783348,9.34652210532424,3965,3965
noise_reference,10um,standalone_noise_folder,7-10 kHz,7000.0,10000.0,4.784533794713658,2.7566398639514014,3965,3965
noise_reference,10um,standalone_noise_folder,10-40 kHz,10000.0,40000.0,19.040602683678586,6.151260893250721,3965,3965
noise_reference,10um,standalone_noise_folder,40-80 kHz,40000.0,80000.0,10.78139477865653,3.4638702382235054,3965,3965
noise_reference,10um,standalone_noise_folder,80 kHz-Nyq,80000.0,,7.8030303944687125,2.4160711959487644,3965,3965
